team,p_1st,p_2nd,p_3rd_qualify,p_3rd_elim,p_4th
Mexico,1.0,0.0,0.0,0.0,0.0
Argentina,1.0,0.0,0.0,0.0,0.0
Brazil,1.0,0.0,0.0,0.0,0.0
United States,1.0,0.0,0.0,0.0,0.0
Germany,1.0,0.0,0.0,0.0,0.0
Switzerland,1.0,0.0,0.0,0.0,0.0
Spain,0.8469,0.0918,0.0613,0.0,0.0
England,0.7937,0.2051,0.0012,0.0,0.0
France,0.7792,0.2208,0.0,0.0,0.0
Colombia,0.7491,0.2509,0.0,0.0,0.0
Netherlands,0.6853,0.3118,0.0029,0.0,0.0
Egypt,0.5552,0.1801,0.2646,0.0001,0.0
Japan,0.2776,0.5361,0.1863,0.0,0.0
Belgium,0.2582,0.58,0.0866,0.0119,0.0633
Portugal,0.2509,0.7445,0.0046,0.0,0.0
Norway,0.2208,0.7792,0.0,0.0,0.0
Iran,0.1866,0.1913,0.2587,0.3304,0.033
Croatia,0.1701,0.5631,0.2498,0.017,0.0
Uruguay,0.1269,0.0797,0.1639,0.5283,0.1012
Sweden,0.0371,0.1521,0.7168,0.094,0.0
Ghana,0.0362,0.2318,0.732,0.0,0.0
Cape Verde,0.0262,0.5804,0.0979,0.0941,0.2014
Curaçao,0.0,0.1181,0.0583,0.0886,0.735
New Zealand,0.0,0.0486,0.0264,0.0213,0.9037
Australia,0.0,0.7129,0.2433,0.0438,0.0
Haiti,0.0,0.0,0.0,0.0,1.0
Turkey,0.0,0.0,0.0,0.0,1.0
Algeria,0.0,0.3379,0.4655,0.1966,0.0
Canada,0.0,1.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.3493,0.6507,0.0
Qatar,0.0,0.0,0.0,0.0,1.0
Ivory Coast,0.0,0.8236,0.1001,0.018,0.0583
Tunisia,0.0,0.0,0.0,0.0,1.0
South Korea,0.0,0.0,0.925,0.075,0.0
Bosnia and Herzegovina,0.0,0.0,1.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,1.0
Senegal,0.0,0.0,0.5228,0.2998,0.1774
Paraguay,0.0,0.2871,0.4775,0.2354,0.0
Saudi Arabia,0.0,0.2481,0.0469,0.0076,0.6974
Iraq,0.0,0.0,0.0291,0.1483,0.8226
Uzbekistan,0.0,0.0,0.0295,0.33,0.6405
South Africa,0.0,1.0,0.0,0.0,0.0
Austria,0.0,0.6621,0.2973,0.0406,0.0
Czechia,0.0,0.0,0.0,0.0,1.0
DR Congo,0.0,0.0046,0.3491,0.2868,0.3595
Ecuador,0.0,0.0583,0.2533,0.4817,0.2067
Morocco,0.0,1.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,1.0
